# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Apr 28 12:39:52 BST 2021 [seed=1619609990114]
# -working /home/mahan/Downloads/alignment_lab/For_publication/alignments/decLC_alignments_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	external.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
17900000	-71544.58746082385	-2074.9064201547226	-69469.68104066912	1.1213875360125485	114.63183591105485	17.747486161443987	12.469304605444767	0.7300865349047225	4.559517595704441	0.284886265595528	0.17388061027230775	0.18778628537327707	0.35344683875889144	0.06861537066397795	3.955378957542742E-4	9.718523971579023E-4	7.816594568348942E-4	0.4213697303410583	-5.970567070769661E-14	-69469.68104066912	0.0	-2068.3833119179003
18000000	-71524.08519119993	-2090.4624908863216	-69433.62270031362	1.2023453782080176	118.41199670926584	21.54862641390841	11.402738580118301	0.6820266732295086	4.9111068389281805	0.28228755244818027	0.17876809620001954	0.18350054236894914	0.3554438089828553	0.10917228265482781	4.0709951140109266E-4	9.297418319633884E-4	7.628033550875336E-4	0.39087633879496947	-9.805568720578439E-14	-69433.62270031362	0.0	-2083.5852016380954
18100000	-71555.75099217349	-2115.4143628360403	-69440.33662933744	1.1467351938747798	120.87389952742487	23.190705812852187	12.906511574622268	0.7041653144939823	4.496345526107083	0.2802242225138209	0.17907259746707463	0.1860747940781741	0.35462838594093504	0.06819039073250124	4.307853012123719E-4	9.195202001116599E-4	7.711108730426522E-4	0.36188741458790624	1.0570684121669148E-13	-69440.33662933744	0.0	-2108.5719963103165
18200000	-71592.82597555326	-2109.2872797961595	-69483.5386957571	1.2180630921530198	118.46358665452313	20.881850550062378	12.200645212437882	0.7014409549398584	4.752518160642731	0.28021778392927094	0.1793538856842485	0.19060707036573005	0.34982126002075525	0.01943045228870582	3.608598655701416E-4	9.88250131380095E-4	7.769698773561756E-4	0.46490094657210995	-7.370181521433987E-14	-69483.5386957571	0.0	-2102.6746011984387
18300000	-71632.20155539221	-2181.3335346496715	-69450.86802074254	1.252790523788753	125.48586665279184	23.297908908610708	11.333265056855634	0.6972140242073539	4.574667332373578	0.28485789103676057	0.17887419915191893	0.18421489344209366	0.3520530163692315	0.12673285604927656	3.7455864718491323E-4	8.92785148506495E-4	7.270146761698855E-4	0.40881707617515944	-7.288974436526205E-14	-69450.86802074254	0.0	-2174.4960323365813
18400000	-71636.98827913195	-2189.6244496497816	-69447.36382948217	1.1753450334133375	124.92042571128583	20.221580969811633	11.934479738451527	0.7448437697027149	4.720703230647319	0.2863654936869291	0.17534374897213106	0.18691847140167414	0.3513722859392703	0.010005318140948493	3.5072262031728553E-4	8.874206860477616E-4	7.109526861037161E-4	0.433359340266285	-5.5056712868782145E-14	-69447.36382948217	0.0	-2183.157021807726
18500000	-71645.18348637698	-2190.9677862901594	-69454.21570008682	1.2401314609099388	124.17021067984241	21.61488718055962	10.253862625595902	0.6960007471977984	4.567972939723708	0.2862400150817268	0.17564091922098896	0.19042593564759644	0.34769313004969277	0.052322937604405276	4.1475177882930903E-4	8.833727963342212E-4	7.363900550754653E-4	0.3609425865199916	1.984784914620187E-14	-69454.21570008682	0.0	-2184.349779833598
18600000	-71649.7911046161	-2170.7476607173817	-69479.04344389871	1.2587926018423752	122.78658465642525	21.21971087259472	11.197698829079823	0.7093987436647794	4.429470410077159	0.2884027415085275	0.1743504410860239	0.18716573326740363	0.3500810841380499	0.06816216707020359	4.2115861321929076E-4	8.835645126100892E-4	7.38840103885707E-4	0.35435756917048905	7.526348445779062E-14	-69479.04344389871	0.0	-2164.1201715114307
18700000	-71643.50394443494	-2193.7869899206507	-69449.71695451428	1.2540096186179581	125.22840360034184	22.20663334618158	11.038557119752854	0.7137542187735719	4.747454780463617	0.28489083370892426	0.17750623563413417	0.1860441293478293	0.3515588013091173	0.005269522979084981	4.406420054401286E-4	8.379119028207076E-4	7.151909075864283E-4	0.31069170874429247	2.7420103193478937E-14	-69449.71695451428	0.0	-2187.1428498580394
18800000	-71616.82086229659	-2159.591558911279	-69457.2293033853	1.247723419802185	121.5994593875175	24.296148795952337	10.524806218797242	0.6851527385328643	4.537488577390799	0.28721088948724827	0.17329670582618278	0.18410938632818044	0.3553830183583935	0.07178833034265128	4.2467864499661477E-4	8.69982465858065E-4	7.371458612741044E-4	0.3439088326323614	1.9889554499004165E-15	-69457.2293033853	0.0	-2152.755912811738
